CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
148 CISP,ITALVA,OUTRAS DELEGACIAS,3/04/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,45,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
110 CISP,TERESOPOLIS,NUAM - TERESOPOLIS,7/04/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,22,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
88 CISP,BARRA DO PIRAI,OUTRAS DELEGACIAS,7/04/2018,MANHA - 06H AS 11H59,FEMINICIDIO,22,PARDA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
151 CISP,NOVA FRIBURGO,DEAM - NOVA FRIBURGO,11/04/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,59,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
151 CISP,NOVA FRIBURGO,DEAM - NOVA FRIBURGO,11/04/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,59,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
89 CISP,RESENDE,NUAM - RESENDE,14/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,46,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,NUAM - PETROPOLIS,15/04/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,21,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,16/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO,24,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
128 CISP,RIO DAS OSTRAS,NUAM - RIO DAS OSTRAS,18/04/2018,TARDE - 12H AS 17H59,FEMINICIDIO,NAO INFORMADO,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
105 CISP,PETROPOLIS,NUAM - PETROPOLIS,2/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,21,PARDA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
110 CISP,TERESOPOLIS,NUAM - TERESOPOLIS,27/04/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,43,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,NUAM - PETROPOLIS,5/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,BRANCA,NAO INFORMADO,NAO INFORMADO,LEI 11.340/2006 (LEI MARIA DA PENHA)
71 CISP,ITABORAI,OUTRAS DELEGACIAS,6/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,14,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
71 CISP,ITABORAI,OUTRAS DELEGACIAS,6/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
106 CISP,PETROPOLIS,OUTRAS DELEGACIAS,8/04/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,26,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,DEAM - ANGRA DOS REIS,12/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,21,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
159 CISP,CACHOEIRAS DE MACACU,OUTRAS DELEGACIAS,13/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO,40,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,OUTRAS DELEGACIAS,14/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,20/05/2018,MANHA - 06H AS 11H59,FEMINICIDIO,16,PRETA,NAO INFORMADO,OUTROS LOCAIS,SEM LEI ESPECIFICA
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,19/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,36,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
110 CISP,TERESOPOLIS,NUAM - TERESOPOLIS,6/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,23,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
71 CISP,ITABORAI,OUTRAS DELEGACIAS,20/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,33,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
166 CISP,ANGRA DOS REIS,DEAM - ANGRA DOS REIS,27/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,24,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
100 CISP,PORTO REAL,OUTRAS DELEGACIAS,31/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,29,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
144 CISP,BOM JESUS DO ITABAPOANA,OUTRAS DELEGACIAS,3/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO,60,PARDA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
134 CISP,CAMPOS DOS GOYTACAZES,DEAM - CAMPOS,7/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,28,BRANCA,OUTRAS,VIA PUBLICA,SEM LEI ESPECIFICA
152 CISP,DUAS BARRAS,OUTRAS DELEGACIAS,17/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,OUTRAS DELEGACIAS,18/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,44,OUTRAS,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
166 CISP,ANGRA DOS REIS,OUTRAS DELEGACIAS,18/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,33,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,21/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,59,NAO INFORMADO,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
125 CISP,SAO PEDRO DA ALDEIA,OUTRAS DELEGACIAS,22/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO,NAO INFORMADO,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
126 CISP,CABO FRIO,DEAM - CABO FRIO,24/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
88 CISP,BARRA DO PIRAI,OUTRAS DELEGACIAS,2/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,19,BRANCA,OUTRAS,VIA PUBLICA,SEM LEI ESPECIFICA
89 CISP,RESENDE,NUAM - RESENDE,4/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO,46,BRANCA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
118 CISP,ARARUAMA,NUAM - ARARUAMA,5/07/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,OUTRAS DELEGACIAS,7/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,EX-COMPANHEIRO,NAO INFORMADO,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,11/07/2018,MANHA - 06H AS 11H59,FEMINICIDIO,46,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,NUAM - PETROPOLIS,15/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,35,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,18/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,50,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
100 CISP,PORTO REAL,OUTRAS DELEGACIAS,20/07/2018,MANHA - 06H AS 11H59,FEMINICIDIO,20,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
100 CISP,QUATIS,OUTRAS DELEGACIAS,21/07/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,60,PRETA,PAI/MAE,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,28/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,27,BRANCA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
123 CISP,MACAE,OUTRAS DELEGACIAS,28/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,33,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
155 CISP,SAO SEBASTIAO DO ALTO,OUTRAS DELEGACIAS,2/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,39,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
165 CISP,MANGARATIBA,OUTRAS DELEGACIAS,5/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,43,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
123 CISP,MACAE,OUTRAS DELEGACIAS,5/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,38,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
137 CISP,MIRACEMA,OUTRAS DELEGACIAS,20/08/2018,TARDE - 12H AS 17H59,FEMINICIDIO,25,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
126 CISP,CABO FRIO,DEAM - CABO FRIO,23/08/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,16,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
118 CISP,ARARUAMA,NUAM - ARARUAMA,30/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,48,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,NUAM - PETROPOLIS,4/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,35,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
108 CISP,TRES RIOS,NUAM - TRES RIOS,8/09/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,50,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
119 CISP,RIO BONITO,OUTRAS DELEGACIAS,8/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,38,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
122 CISP,CONCEICAO DE MACABU,OUTRAS DELEGACIAS,8/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
119 CISP,RIO BONITO,OUTRAS DELEGACIAS,15/09/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,57,PARDA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
123 CISP,MACAE,OUTRAS DELEGACIAS,19/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,16,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
155 CISP,SAO SEBASTIAO DO ALTO,OUTRAS DELEGACIAS,19/09/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,32,PARDA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
125 CISP,SAO PEDRO DA ALDEIA,DEAM - CABO FRIO,19/09/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,47,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,30/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,13,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
141 CISP,SAO FIDELIS,OUTRAS DELEGACIAS,4/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,31,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
71 CISP,ITABORAI,OUTRAS DELEGACIAS,9/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,43,NAO INFORMADO,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
71 CISP,ITABORAI,OUTRAS DELEGACIAS,12/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,57,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
151 CISP,NOVA FRIBURGO,OUTRAS DELEGACIAS,13/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,47,BRANCA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
151 CISP,NOVA FRIBURGO,OUTRAS DELEGACIAS,13/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,47,BRANCA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
144 CISP,BOM JESUS DO ITABAPOANA,OUTRAS DELEGACIAS,19/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,36,PARDA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
88 CISP,BARRA DO PIRAI,OUTRAS DELEGACIAS,21/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
88 CISP,BARRA DO PIRAI,OUTRAS DELEGACIAS,21/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
151 CISP,NOVA FRIBURGO,DEAM - NOVA FRIBURGO,23/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,47,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
137 CISP,MIRACEMA,OUTRAS DELEGACIAS,28/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,51,BRANCA,OUTRAS,VIA PUBLICA,SEM LEI ESPECIFICA
93 CISP,VOLTA REDONDA,DEAM - VOLTA REDONDA,1/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,38,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,OUTRAS DELEGACIAS,4/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
128 CISP,RIO DAS OSTRAS,NUAM - RIO DAS OSTRAS,5/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,14,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
151 CISP,NOVA FRIBURGO,DEAM - NOVA FRIBURGO,5/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
107 CISP,PARAIBA DO SUL,OUTRAS DELEGACIAS,10/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,14/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,32,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,14/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,32,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
110 CISP,TERESOPOLIS,NUAM - TERESOPOLIS,14/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO,42,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
71 CISP,ITABORAI,OUTRAS DELEGACIAS,17/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,28,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,24/11/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,27,PARDA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,OUTRAS DELEGACIAS,2/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,20,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,26/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,23,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
146 CISP,CAMPOS DOS GOYTACAZES,DEAM - CAMPOS,27/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,20,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
106 CISP,PETROPOLIS,OUTRAS DELEGACIAS,3/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO,53,BRANCA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
123 CISP,MACAE,OUTRAS DELEGACIAS,9/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,36,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
141 CISP,SAO FIDELIS,OUTRAS DELEGACIAS,7/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
134 CISP,CAMPOS DOS GOYTACAZES,DEAM - CAMPOS,9/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,46,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,DEAM - ANGRA DOS REIS,16/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,17,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
126 CISP,CABO FRIO,DEAM - CABO FRIO,22/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,18,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
93 CISP,VOLTA REDONDA,DEAM - VOLTA REDONDA,18/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,22,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
108 CISP,TRES RIOS,NUAM - TRES RIOS,22/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,15,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
136 CISP,SANTO ANTONIO DE PADUA,OUTRAS DELEGACIAS,25/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO,45,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
128 CISP,RIO DAS OSTRAS,NUAM - RIO DAS OSTRAS,29/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)

